,genre,rate,name,url
13005,"Indie,Strategy", 100,闯关杀ii,https://store.steampowered.com/app/985680/II/
13006,Simulation, 86,pinballfx3williamspinballvolume2,https://store.steampowered.com/app/984180/Pinball_FX3__Williams_Pinball_Volume_2/
13007,"Adventure,Indie,Strategy", 84,euclideanskies,https://store.steampowered.com/app/983980/Euclidean_Skies/
13008,Action, Need more user reviews to generate a score,dynastywarriors9chengongadditionalhypotheticalscenariosset陳宮追加ｉｆシナリオセット,https://store.steampowered.com/app/978867/DYNASTY_WARRIORS_9_Chen_Gong_Additional_Hypothetical_Scenarios_Set/
13009,Action, Need more user reviews to generate a score,dynastywarriors9zhouyuadditionalhypotheticalscenariosset周瑜追加ｉｆシナリオセット,https://store.steampowered.com/app/978865/DYNASTY_WARRIORS_9_Zhou_Yu_Additional_Hypothetical_Scenarios_Set/
13010,Action, Need more user reviews to generate a score,dynastywarriors9guojiaadditionalhypotheticalscenariosset郭嘉追加ｉｆシナリオセット,https://store.steampowered.com/app/978864/DYNASTY_WARRIORS_9_Guo_Jia_Additional_Hypothetical_Scenarios_Set/
13011,Action, Need more user reviews to generate a score,dynastywarriors9additionalweaponcurvedsword追加武器弧刀,https://store.steampowered.com/app/978860/DYNASTY_WARRIORS_9_Additional_Weapon_Curved_Sword/
13012,Action, Need more user reviews to generate a score,dynastywarriors9lulingqihighschoolgirlscostume呂玲綺女子高生風コスチューム,https://store.steampowered.com/app/978856/DYNASTY_WARRIORS_9_Lu_Lingqi_High_School_Girls_Costume/
13013,Action, Need more user reviews to generate a score,dynastywarriors9diaochanbridecostume貂蝉花嫁風コスチューム,https://store.steampowered.com/app/978855/DYNASTY_WARRIORS_9_Diaochan_Bride_Costume/
13014,Action, Need more user reviews to generate a score,dynastywarriors9xinxianyingconciergecostume辛憲英コンシェルジュ風コスチューム,https://store.steampowered.com/app/978853/DYNASTY_WARRIORS_9_Xin_Xianying_Concierge_Costume/
13015,Action, Need more user reviews to generate a score,dynastywarriors9wangyuanjinursecostume王元姫ナース風コスチューム,https://store.steampowered.com/app/978854/DYNASTY_WARRIORS_9_Wang_Yuanji_Nurse_Costume/
13016,Action, Need more user reviews to generate a score,dynastywarriors9wangyisommeliercostume王異ソムリエ風コスチューム,https://store.steampowered.com/app/978852/DYNASTY_WARRIORS_9_Wang_Yi_Sommelier_Costume/
13017,Action, Need more user reviews to generate a score,dynastywarriors9zhenjiflightattendantcostume甄姫ca風コスチューム,https://store.steampowered.com/app/978850/DYNASTY_WARRIORS_9_Zhenji_Flight_Attendant_Costume___CA/
13018,"Action,Indie,RPG,Early Access", 85,youcannotsurvive,https://store.steampowered.com/app/976340/You_CanNot_Survive/
13019,"Action,Indie", Need more user reviews to generate a score,deepspaceshooter,https://store.steampowered.com/app/972280/Deep_Space_Shooter/
13020,Action, Need more user reviews to generate a score,dynastywarriors9xiahoujinewwifecostume夏侯姫新妻風コスチューム,https://store.steampowered.com/app/964938/DYNASTY_WARRIORS_9_Xiahouji_New_wife_Costume/
13021,"Indie,RPG", Need more user reviews to generate a score,braveheroyuushaex,https://store.steampowered.com/app/969690/Brave_Hero_Yuusha_EX/
13022,Action, Need more user reviews to generate a score,dynastywarriors9guanyinpinghighschoolgirlscostume関銀屏女子高生風コスチューム,https://store.steampowered.com/app/964937/DYNASTY_WARRIORS_9_Guan_Yinping_High_school_girls_Costume/
13023,Action, Need more user reviews to generate a score,dynastywarriors9baosanniangcheerleaderscostume鮑三娘チアガール風コスチューム,https://store.steampowered.com/app/964936/DYNASTY_WARRIORS_9_Bao_Sanniang_Cheerleaders_Costume/
13024,Action, Need more user reviews to generate a score,dynastywarriors9xingcaihighschoolgirlscostume星彩女子高生風コスチューム,https://store.steampowered.com/app/964935/DYNASTY_WARRIORS_9_Xingcai_High_school_girls_Costume/
13025,"Action,Indie", Need more user reviews to generate a score,scourgeoutbreakfanpack,https://store.steampowered.com/app/227563/Scourge_Outbreak_Fan_Pack/
13026,"Adventure,Casual,Indie", 88,motteisland,https://store.steampowered.com/app/291290/Motte_Island/
13027,"Design & Illustration,Web Publishing", Need more user reviews to generate a score,rpgmakervxacenightmaresmusicpack,https://store.steampowered.com/app/291470/RPG_Maker_VX_Ace__Nightmares_Music_Pack/
