url,types,name,desc_snippet,genre
https://store.steampowered.com/bundle/2405/The_Binding_of_Isaac_Rebirth_Complete_Bundle/,bundle,The Binding of Isaac: Rebirth Complete Bundle,The Binding of Isaac: Rebirth Complete Bundle bundle,"Action,Adventure,Indie"
https://store.steampowered.com/app/955050/Bright_MemoryEarly_Access/,app,Bright Memory(Early Access) / 光明记忆,《Bright Memory》is developed by an independent game developer FYQD in his spare time.Travel to the sky of land to prevent SAI from digging out the secrets of the rebirth of ancient creatures.This is a war between future science and ancient civilization.,"Action,Adventure,Indie,Early Access"
https://store.steampowered.com/app/32470/STAR_WARS_Empire_at_War__Gold_Pack/,app,STAR WARS™ Empire at War - Gold Pack,"Command or corrupt an entire galaxy in the definitive Star Wars strategy collection. It is a time of galactic civil war. Will you take up the reins of the Rebellion, assume control of the Empire, or rule the Star Wars Underworld?",Strategy
https://store.steampowered.com/app/614570/Dishonored_Death_of_the_Outsider/,app,Dishonored®: Death of the Outsider™,"From the award-winning developers at Arkane® Studios comes Dishonored®: Death of the Outsider, the next standalone adventure in the critically-acclaimed Dishonored® series.",Action
https://store.steampowered.com/app/310950/Street_Fighter_V/,app,Street Fighter V,"Experience the intensity of head-to-head battles with Street Fighter® V! Choose from 16 iconic characters, then battle against friends online or offline with a robust variety of match options.",Action
https://store.steampowered.com/app/397460/The_Jackbox_Party_Pack_2/,app,The Jackbox Party Pack 2,"The sequel to the party game phenomenon The Jackbox Party Pack, featuring FIVE fresh, rib-tickling party games! Your phones or tablets are your controllers – no big mess of controllers needed. For up to 8 players plus an Audience of up to 10,000! It’s a game-night riot in a box… without the box!","Casual,Indie,Strategy"
https://store.steampowered.com/app/814740/Armored_Battle_Crew_World_War_1__Tank_Warfare_and_Crew_Management_Simulator/,app,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,"Armored Battle Crew is a Tank and Crew Management Simulation game, where your skills as a Tank commander is tested. Customize your tank carefully and make strategic battle choices to achieve mission success! The fate of your crew lies in your hands!","Action,Adventure,Casual,Indie,Simulation,Strategy,Early Access"
https://store.steampowered.com/app/573100/Battlefleet_Gothic_Armada_2/,app,Battlefleet Gothic: Armada 2,"Battlefleet Gothic: Armada 2 is the new real-time strategy game adapted from Games Workshop’s famous tabletop game that portrays the epic space battles of the Warhammer 40,000 universe.",Strategy
https://store.steampowered.com/app/270150/RUNNING_WITH_RIFLES/,app,RUNNING WITH RIFLES,"RUNNING WITH RIFLES is a top-down tactical shooter with open world RPG elements. In RWR, you join the ranks of an army as a common soldier, just like the thousands around you.","Action,Indie"
https://store.steampowered.com/app/20900/The_Witcher_Enhanced_Edition_Directors_Cut/,app,The Witcher: Enhanced Edition Director's Cut,"Become The Witcher, Geralt of Rivia, a legendary monster slayer caught in a web of intrigue woven by forces vying for control of the world. Make difficult decisions and live with the consequences in a game that will immerse you in an extraordinary tale like no other.","Action,RPG"
